ozone radiation temperature wind
3.45 190 67 7.4
2.29 149 74 12.6
2.84 299 65 8.6
2 19 61 20.1
2.22 290 66 9.2
2.62 65 58 13.2
3.24 307 66 12
3.11 322 68 11.5
1 8 59 9.7
1.59 25 61 9.7
2.84 13 67 12
4.86 223 79 5.7
3.07 127 82 9.7
3.39 323 87 11.5
2.76 191 77 14.9
3.3 118 72 8
2.62 313 62 11.5
2.67 99 59 13.8
2.52 256 69 9.7
2.41 274 68 10.9
2.41 334 64 11.5
1.82 78 57 18.4
2.22 44 62 9.7
2.22 320 73 16.6
3.17 92 61 12
3.56 252 81 14.9
3.33 279 76 7.4
4.14 291 90 13.8
2.84 148 82 8
3.33 284 72 20.7
